names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
"Lagunas, la guarida del diablo",05/11/2022 ,48.0,Horror,Josué's routines are violently altered the night his insane brother manages to escape.,"Joan Frank Charansonnet, , Miquel Sitjar, , Joan Massotkleiner, , Carlus Fábrega, , Patrícia Bargalló, , José García Ruiz, , Ramon Canals, , Montse Ribadellas, ","Lagunas, la guarida del diablo", Released," Spanish, Castilian",147180000.0,222629230.6,ES
xXx,10/03/2002 ,59.0,"Action, Adventure, Thriller","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","Vin Diesel, Xander Cage, Asia Argento, Yelena, Samuel L. Jackson, Agent Augustus Gibbons, Leila Arcieri, Jordan King, Marton Csokas, Yorgi, Eve Jeffers Cooper, J.J., Jan Filipenský, Viktor, Michael Roof, Agent Toby Lee Shavers, Danny Trejo, El Jefe",xXx, Released, English,70000000.0,267200000.0,AU
Hunter x Hunter: The Last Mission,12/27/2013 ,69.0,"Adventure, Animation, Action, Fantasy","Isaac Netero is the chairman of the Hunter Association. Decades ago he sealed away Jed, a Hunter who had mastered the use of On, the dark ""shadow"" of Nen. Now On users have reappeared at the Heaven's Arena ""Battle Olympia"" tournament. For Netero, this is the last mission: to protect the Association and the world from a threat driven by hatred and the thirst for revenge. And he's going to need all the help he can get in order to succeed.","Megumi Han, Gon Freecss (voice), Ichiro Nagai, Isaac Netero (voice), Mariya Ise, Killua Zoldyck (voice), Miyuki Sawashiro, Kurapika (voice), Keiji Fujiwara, Leorio Paladiknight (voice), Ichitarou Ai, Beans (voice), Kotono Mitsuishi, Cocco (voice), Ryuuzaburou Ootomo, Gaki (voice), Hiroki Takahashi, Pariston Hill (voice)", 劇場版 HUNTER×HUNTER -The LAST MISSION-, Released, Japanese,74600000.0,7449778.0,JP
Alvin and the Chipmunks: The Road Chip,12/26/2015 ,60.0,"Adventure, Animation, Comedy, Family","Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.","Jason Lee, Dave, Justin Long, Alvin (voice), Bella Thorne, Ashley Grey, Matthew Gray Gubler, Simon (voice), Jesse McCartney, Theodore (voice), Kaley Cuoco, Eleanor (voice), Kimberly Williams-Paisley, Samantha, Anna Faris, Jeanette (voice), Christina Applegate, Brittany (voice)",Alvin and the Chipmunks: The Road Chip, Released, English,90000000.0,249517956.0,AU
Point Break,01/01/1992 ,71.0,"Action, Thriller, Crime","In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.","Patrick Swayze, Bodhi, Keanu Reeves, Johnny Utah, Gary Busey, Angelo Pappas, Lori Petty, Tyler Ann Endicott, John C. McGinley, Ben Harp, James Le Gros, Roach, John Philbin, Nathanial, BoJesse Christopher, Grommet, Julian Reyes, Alvarez",Point Break, Released, English,100000000.0,126704591.0,AU
Point Break,01/01/1992 ,71.0,"Action, Thriller, Crime","In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.","Patrick Swayze, Bodhi, Keanu Reeves, Johnny Utah, Gary Busey, Angelo Pappas, Lori Petty, Tyler Ann Endicott, John C. McGinley, Ben Harp, James Le Gros, Roach, John Philbin, Nathanial, BoJesse Christopher, Grommet, Julian Reyes, Alvarez",Point Break, Released, English,24000000.0,83531958.0,AU
Showing Up,04/07/2023 ,65.0,"Comedy, Drama","An artist on the verge of a career-changing exhibition navigates family, friends and colleagues in the lead-up to her show and finds that the chaos of life becomes the inspiration for more great art.","Michelle Williams, Lizzy, Hong Chau, Jo, Maryann Plunkett, Jean, John Magaro, Sean, André 3000, Eric, James Le Gros, Ira, Judd Hirsch, Bill, Todd-o-Phonic Todd, Radio D, Lauren Lakis, Terri",Showing Up, Released, English,73000000.0,572490615.4,US
The Sword,10/18/2021 ,53.0,,"Lord of Darkness Artha was born from human struggle and resentment. In ancient times he formed an army of undead to conquer the world. At the moment of final battle human leaders used blood to forge the holy sword to seal Artha. For thousands of years, legends have fallen one after another, and Artha has made a comeback.","Li Xianshi, Mi Chen, Robert Gilabert Cuenca, , Anita Smirnova, , Long Yangyang, , Hu Dongqing, Mi Chen's mother", 屠魔：王者征途, Released, Chinese,159000000.0,279278382.2,CN
Epic,06/13/2013 ,65.0,"Animation, Adventure, Family, Fantasy",A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,"Colin Farrell, Ronin (voice), Amanda Seyfried, Mary Katherine (M.K.) (voice), Christoph Waltz, Mandrake (voice), Josh Hutcherson, Nod (voice), Jason Sudeikis, Bomba (voice), Aziz Ansari, Mub (voice), Chris O'Dowd, Grub (voice), Beyoncé, Queen Tara (voice), Judah Friedlander, Taxi Driver (voice)",Epic, Released, English,100000000.0,262794441.0,AU
Berserk: The Golden Age Arc I - The Egg of the King,02/03/2012 ,74.0,"Action, Adventure, Fantasy, Animation","Guts, an immensely strong sword-for-hire, has little direction in his life, simply fighting one battle after the next. However, this all changes suddenly when he meets and is bested by Griffith, a beautiful and charismatic young man who leads the Band of the Hawk mercenary army. After Guts joins the Band and the relationship between the two men begins to blossom, Casca, the tough, lone swordswoman in the Band of the Hawk, struggles to accept Guts and the influence he has on the world around her.  While the two men begin to fight together, Griffith continues to rise to power, all seemingly in order to reach his mysterious, prophesied goals. What lengths will Guts and Griffith go to in order to reach these goals, and where will fate take the two men?","Hiroaki Iwanaga, Guts, Takahiro Sakurai, Griffith, Yuki Kaji, Judeau, Takahiro Fujiwara, Pippin, Toa Yukinari, Casca, Yoshiro Matsumoto, Corkus, Minako Kotobuki, Rickert, Kazuki Yao, Gaston, Aki Toyosaki, Charlotte", ベルセルク 黄金時代篇I 覇王の卵, Released, Japanese,113400000.0,611894286.8,JP
